"","GOID","TERM"
"168","GO:0000956","nuclear-transcribed mRNA catabolic process"
"169","GO:0000956","nuclear-transcribed mRNA catabolic process"
"170","GO:0000956","nuclear-transcribed mRNA catabolic process"
"171","GO:0000956","nuclear-transcribed mRNA catabolic process"
"172","GO:0000956","nuclear-transcribed mRNA catabolic process"
"173","GO:0000956","nuclear-transcribed mRNA catabolic process"
"174","GO:0000956","nuclear-transcribed mRNA catabolic process"
"175","GO:0000956","nuclear-transcribed mRNA catabolic process"
"176","GO:0000956","nuclear-transcribed mRNA catabolic process"
"177","GO:0000956","nuclear-transcribed mRNA catabolic process"
"178","GO:0000956","nuclear-transcribed mRNA catabolic process"
"179","GO:0000956","nuclear-transcribed mRNA catabolic process"
"180","GO:0000956","nuclear-transcribed mRNA catabolic process"
"181","GO:0000956","nuclear-transcribed mRNA catabolic process"
"182","GO:0000956","nuclear-transcribed mRNA catabolic process"
"183","GO:0000956","nuclear-transcribed mRNA catabolic process"
"184","GO:0000956","nuclear-transcribed mRNA catabolic process"
"185","GO:0000956","nuclear-transcribed mRNA catabolic process"
"186","GO:0000956","nuclear-transcribed mRNA catabolic process"
"187","GO:0000956","nuclear-transcribed mRNA catabolic process"
"188","GO:0000956","nuclear-transcribed mRNA catabolic process"
"189","GO:0000956","nuclear-transcribed mRNA catabolic process"
"190","GO:0000956","nuclear-transcribed mRNA catabolic process"
"191","GO:0000956","nuclear-transcribed mRNA catabolic process"
"192","GO:0000956","nuclear-transcribed mRNA catabolic process"
"193","GO:0000956","nuclear-transcribed mRNA catabolic process"
"194","GO:0000956","nuclear-transcribed mRNA catabolic process"
"195","GO:0000956","nuclear-transcribed mRNA catabolic process"
"196","GO:0000956","nuclear-transcribed mRNA catabolic process"
"197","GO:0000956","nuclear-transcribed mRNA catabolic process"
"198","GO:0000956","nuclear-transcribed mRNA catabolic process"
"199","GO:0000956","nuclear-transcribed mRNA catabolic process"
"200","GO:0000956","nuclear-transcribed mRNA catabolic process"
"201","GO:0000956","nuclear-transcribed mRNA catabolic process"
"202","GO:0000956","nuclear-transcribed mRNA catabolic process"
"203","GO:0000956","nuclear-transcribed mRNA catabolic process"
"204","GO:0000956","nuclear-transcribed mRNA catabolic process"
"205","GO:0000956","nuclear-transcribed mRNA catabolic process"
"206","GO:0000956","nuclear-transcribed mRNA catabolic process"
"207","GO:0000956","nuclear-transcribed mRNA catabolic process"
"208","GO:0000956","nuclear-transcribed mRNA catabolic process"
"209","GO:0000956","nuclear-transcribed mRNA catabolic process"
"210","GO:0000956","nuclear-transcribed mRNA catabolic process"
"211","GO:0000956","nuclear-transcribed mRNA catabolic process"
"212","GO:0000956","nuclear-transcribed mRNA catabolic process"
"213","GO:0000956","nuclear-transcribed mRNA catabolic process"
"214","GO:0000956","nuclear-transcribed mRNA catabolic process"
"215","GO:0000956","nuclear-transcribed mRNA catabolic process"
"216","GO:0000956","nuclear-transcribed mRNA catabolic process"
"217","GO:0000956","nuclear-transcribed mRNA catabolic process"
"218","GO:0000956","nuclear-transcribed mRNA catabolic process"
"219","GO:0000956","nuclear-transcribed mRNA catabolic process"
"220","GO:0000956","nuclear-transcribed mRNA catabolic process"
"221","GO:0000956","nuclear-transcribed mRNA catabolic process"
"222","GO:0000956","nuclear-transcribed mRNA catabolic process"
"223","GO:0000956","nuclear-transcribed mRNA catabolic process"
"224","GO:0000956","nuclear-transcribed mRNA catabolic process"
"225","GO:0000956","nuclear-transcribed mRNA catabolic process"
"226","GO:0000956","nuclear-transcribed mRNA catabolic process"
"227","GO:0000956","nuclear-transcribed mRNA catabolic process"
"228","GO:0000956","nuclear-transcribed mRNA catabolic process"
"229","GO:0000956","nuclear-transcribed mRNA catabolic process"
"230","GO:0000956","nuclear-transcribed mRNA catabolic process"
"231","GO:0000956","nuclear-transcribed mRNA catabolic process"
"232","GO:0000956","nuclear-transcribed mRNA catabolic process"
"233","GO:0000956","nuclear-transcribed mRNA catabolic process"
"234","GO:0000956","nuclear-transcribed mRNA catabolic process"
"235","GO:0000956","nuclear-transcribed mRNA catabolic process"
"236","GO:0000956","nuclear-transcribed mRNA catabolic process"
"237","GO:0000956","nuclear-transcribed mRNA catabolic process"
"238","GO:0000956","nuclear-transcribed mRNA catabolic process"
"239","GO:0000956","nuclear-transcribed mRNA catabolic process"
"240","GO:0000956","nuclear-transcribed mRNA catabolic process"
"241","GO:0000956","nuclear-transcribed mRNA catabolic process"
"242","GO:0000956","nuclear-transcribed mRNA catabolic process"
"243","GO:0000956","nuclear-transcribed mRNA catabolic process"
"244","GO:0000956","nuclear-transcribed mRNA catabolic process"
"245","GO:0000956","nuclear-transcribed mRNA catabolic process"
"246","GO:0000956","nuclear-transcribed mRNA catabolic process"
"247","GO:0000956","nuclear-transcribed mRNA catabolic process"
"248","GO:0000956","nuclear-transcribed mRNA catabolic process"
"249","GO:0000956","nuclear-transcribed mRNA catabolic process"
"250","GO:0000956","nuclear-transcribed mRNA catabolic process"
"251","GO:0006397","mRNA processing"
"252","GO:0006397","mRNA processing"
"253","GO:0006397","mRNA processing"
"254","GO:0006397","mRNA processing"
"255","GO:0006397","mRNA processing"
"256","GO:0006397","mRNA processing"
"257","GO:0006397","mRNA processing"
"258","GO:0006397","mRNA processing"
"259","GO:0006397","mRNA processing"
"260","GO:0006397","mRNA processing"
"261","GO:0006397","mRNA processing"
"262","GO:0006397","mRNA processing"
"263","GO:0006397","mRNA processing"
"264","GO:0006397","mRNA processing"
"265","GO:0006397","mRNA processing"
"266","GO:0006397","mRNA processing"
"267","GO:0006397","mRNA processing"
"268","GO:0006397","mRNA processing"
"269","GO:0006397","mRNA processing"
"270","GO:0006397","mRNA processing"
"271","GO:0006397","mRNA processing"
"272","GO:0006397","mRNA processing"
"273","GO:0006397","mRNA processing"
"274","GO:0006397","mRNA processing"
"275","GO:0006397","mRNA processing"
"276","GO:0006397","mRNA processing"
"277","GO:0006397","mRNA processing"
"278","GO:0006397","mRNA processing"
"279","GO:0006397","mRNA processing"
"280","GO:0006397","mRNA processing"
"281","GO:0006397","mRNA processing"
"282","GO:0006397","mRNA processing"
"283","GO:0006397","mRNA processing"
"284","GO:0006397","mRNA processing"
"285","GO:0006397","mRNA processing"
"286","GO:0006397","mRNA processing"
"287","GO:0006397","mRNA processing"
"288","GO:0006397","mRNA processing"
"289","GO:0006397","mRNA processing"
"290","GO:0006397","mRNA processing"
"291","GO:0006397","mRNA processing"
"292","GO:0006397","mRNA processing"
"293","GO:0006397","mRNA processing"
"294","GO:0006397","mRNA processing"
"295","GO:0006397","mRNA processing"
"296","GO:0006397","mRNA processing"
"297","GO:0006397","mRNA processing"
"298","GO:0006397","mRNA processing"
"299","GO:0006397","mRNA processing"
"300","GO:0006397","mRNA processing"
"301","GO:0006397","mRNA processing"
"302","GO:0006397","mRNA processing"
"303","GO:0006397","mRNA processing"
"304","GO:0006397","mRNA processing"
"305","GO:0006397","mRNA processing"
"306","GO:0006397","mRNA processing"
"307","GO:0006397","mRNA processing"
"308","GO:0006397","mRNA processing"
"309","GO:0006397","mRNA processing"
"310","GO:0006397","mRNA processing"
"311","GO:0006397","mRNA processing"
"312","GO:0006397","mRNA processing"
"313","GO:0006397","mRNA processing"
"314","GO:0006397","mRNA processing"
"315","GO:0006397","mRNA processing"
"316","GO:0006397","mRNA processing"
"317","GO:0006397","mRNA processing"
"318","GO:0006397","mRNA processing"
"319","GO:0006397","mRNA processing"
"320","GO:0006397","mRNA processing"
"321","GO:0006397","mRNA processing"
"322","GO:0006397","mRNA processing"
"323","GO:0006397","mRNA processing"
"324","GO:0006397","mRNA processing"
"325","GO:0006397","mRNA processing"
"326","GO:0006397","mRNA processing"
"327","GO:0006397","mRNA processing"
"328","GO:0006397","mRNA processing"
"329","GO:0006397","mRNA processing"
"330","GO:0006397","mRNA processing"
"331","GO:0006397","mRNA processing"
"332","GO:0006397","mRNA processing"
"333","GO:0006397","mRNA processing"
"334","GO:0006397","mRNA processing"
"335","GO:0006397","mRNA processing"
"336","GO:0006397","mRNA processing"
"337","GO:0006397","mRNA processing"
"338","GO:0006397","mRNA processing"
"339","GO:0006397","mRNA processing"
"340","GO:0006397","mRNA processing"
"341","GO:0006397","mRNA processing"
"342","GO:0006397","mRNA processing"
"343","GO:0006397","mRNA processing"
"344","GO:0006397","mRNA processing"
"345","GO:0006397","mRNA processing"
"346","GO:0006397","mRNA processing"
"347","GO:0006397","mRNA processing"
"348","GO:0006397","mRNA processing"
"349","GO:0006397","mRNA processing"
"350","GO:0006397","mRNA processing"
"351","GO:0006397","mRNA processing"
"352","GO:0006397","mRNA processing"
"353","GO:0006397","mRNA processing"
"354","GO:0006397","mRNA processing"
"355","GO:0006397","mRNA processing"
"356","GO:0006397","mRNA processing"
"357","GO:0006397","mRNA processing"
"358","GO:0006397","mRNA processing"
"359","GO:0006397","mRNA processing"
"360","GO:0006397","mRNA processing"
"361","GO:0006397","mRNA processing"
"362","GO:0006397","mRNA processing"
"363","GO:0006397","mRNA processing"
"364","GO:0006397","mRNA processing"
"365","GO:0006397","mRNA processing"
"366","GO:0006397","mRNA processing"
"367","GO:0006397","mRNA processing"
"368","GO:0006397","mRNA processing"
"369","GO:0006397","mRNA processing"
"370","GO:0006397","mRNA processing"
"371","GO:0006397","mRNA processing"
"372","GO:0006397","mRNA processing"
"373","GO:0006397","mRNA processing"
"374","GO:0006397","mRNA processing"
"375","GO:0006397","mRNA processing"
"376","GO:0006397","mRNA processing"
"377","GO:0006397","mRNA processing"
"378","GO:0006397","mRNA processing"
"379","GO:0006397","mRNA processing"
"380","GO:0006397","mRNA processing"
"381","GO:0006397","mRNA processing"
